Player,Main,Secondary,Twitter
Hungrybox,Jigglypuff,,liquidhbox
Leffen,Fox,,tsm_leffen
Mango,Falco,Fox,c9mang0
Axe,Pikachu,Falco,tempoaxe
Wizzrobe,Captain Falcon,,wizzrobe
Zain,Marth,,zainnaghmi
aMSa,Yoshi,,amsaredyoshi
Plup,Sheik,Fox,pg_plup
iBDW,Fox,,ibdwssbm
Mew2King,Marth,Sheik,mvg_mew2king
S2J,Captain Falcon,,johnny_s2j
Fiction,Fox,,fictionirl
SFAT,Fox,,sfat
moky,Fox,,moky_dokie
n0ne,Captain Falcon,,n0ned
Trif,Peach,,trifsmash
Captain Faceroll,Sheik,,ssbm_faceroll
Swedish Delight,Sheik,,ssbm_swedish
Hax$,Fox,,ssbmhax
Lucky,Fox,,legendoflucky
Ginger,Falco,,ssbmginger
Spark,Sheik,,ssbm_spark
ChuDat,Ice Climbers,,liquidchu
PewPewU,Marth,Fox,clg_pewpewu
lloD,Peach,,llod74
ARMY,Ice Climbers,,ssbmarmy
AbsentPage,Fox,,absentpage
Bananas,Ice Climbers,,bananamanlamb
KJH,Fox,,
Shroomed,Sheik,Marth,shroomed08
Westballz,Falco,Fox,weshballz
Medz,Fox,Marth,medzssbm
MikeHaze,Fox,,mikehazegaming
Professor Pro,Fox,,professorprouk
2saint,Jigglypuff,,2saintt
Gahtzu,Captain Falcon,,gahtzu
Albert,Falco,,albertlombardi
Spud,Marth,,ds_spud
FatGoku,Fox,,fatgoku64
Rishi,Marth,,rishissb
Bimbo,Falco,,lfgbimbo
Setchi,Captain Falcon,,setchissbm
Magi,Falco,,ssbmagi
Morsecode762,Samus,,
Jakenshaken,Marth,,jakenshaken
HugS,Samus,,hugs86
Stango,Marth,,stangossbm
Zamu,Fox,,ssbm_zamu
Drephen,Sheik,,drephen
Michael,Jigglypuff,,michael4100000
Ice,Fox,,ice_fights
billybopeep,Fox,,billybopeep_
La Luna,Marth,,themoon112
Colbol,Fox,Marth,colbol725
Overtriforce,Sheik,,overtriforce
Slox,Fox,,crouchcancel
Kalamazhu,Peach,,mw_buster
Nickemwit,Captain Falcon,,nmwhittier
Jerry,Fox,Jigglypuff,jerryssbm
Aura,Peach,,aurassbm
Nut,Sheik,,michaels_nut
Kalvar,Marth,,ssbmkalvar
Polish,Peach,,ssbmpolish
Kevin Maples,Fox,,kevinmaples_
Bladewise,Peach,,bladewise00
Tai,Marth,,teeayeye
Squid,Falco,,squidslaugh
Forrest,Marth,,forrestssbm
Joyboy,Fox,,kingofsnails_
KoDoRiN,Marth,,kodorinssb
Ryan Ford,Fox,Sheik,ryan_ford522
Free Palestine,Sheik,Marth,freepalestinern
Ryobeat,Peach,,ryobeatpeach
Ka-Master,Luigi,Captain Falcon,luigi_kamaster
Kürv,Luigi,Fox,kurvturtle
Frenzy,Falco,,frenzyssbm
MoG,Peach,,messengerssbm
Boyd,Ice Climbers,,
Cool Lime,Ice Climbers,,coollime5
bobby big ballz,Falco,,bobbybigballz19
Nintendude,Marth,Ice Climbers,nintendudessb
Franz,Doc,,lasfranz
Nicki,Fox,,leffenfanboy
lint,Falco,,lintg0d
King Momo,Falco,,kingmomo321
TheRealThing,Falco,,ma_therealthing
UMarth,Marth,,umarth_ssbm
Zeo,Captain Falcon,,zeodyne
Pricent,Fox,,pricents
Prince Abu,Jigglypuff,,theprinceofssbm
Amsah,Sheik,,therealamsah
Rocky (American player){{!}}Rocky,Falco,,rocky_fights
Sharkz,Ice Climbers,,sharkznc
HTwa,Sheik,Fox,htwa_
Kage,Ganon,,kagethewarrior
Schythed,Captain Falcon,,Schythed
Panda,Fox,,BrandonOrooji
Soonsay,Fox,,s00nsay
TheSWOOPER,Samus,,theswooperr
Snowy,Jigglypuff,,SnowyHSS
